First_pokemon,Second_pokemon,outcome,type_interaction,calc_speed,calc_atk,calc_def,calc_spatk,calc_spdef
21,1,0,-1.5,-11,-66,9,-38,30
25,1,0,0.0,-27,-7,14,40,30
50,1,1,0.0,5,-4,-21,-5,-10
64,1,0,-1.5,-15,-116,4,-108,15
76,1,1,0.0,5,-6,14,-1,35
94,1,1,1.5,0,76,-6,108,-5
106,1,0,-1.0,-22,-97,-21,-81,-50
126,1,0,1.5,-15,78,-21,95,40
127,1,0,1.5,-40,66,-46,83,20
128,1,0,1.5,-18,65,-11,113,15
140,1,1,1.5,-35,93,-6,123,45
199,1,1,3.75,5,191,-1,255,15
211,1,1,1.5,10,56,-36,98,0
215,1,1,1.0,15,23,-31,30,-45
215,1,1,1.0,15,23,-31,30,-45
233,1,0,0.0,-30,-68,-66,12,-40
255,1,0,0.0,-30,29,14,45,20
262,1,0,0.0,-10,39,39,-10,-70
279,1,0,-0.5,-35,-96,-21,-78,-5
280,1,0,-0.5,-55,-136,-31,-98,-15
302,1,1,0.0,-40,19,19,10,35
306,1,0,1.0,-35,33,-16,5,-50
306,1,0,1.0,-35,33,-16,5,-50
315,1,1,-0.5,5,-21,-41,2,35
323,1,1,1.5,25,88,9,120,25
343,1,0,-0.5,-40,-49,-6,-15,-10
352,1,0,1.5,-15,53,4,85,20
357,1,0,-1.0,-15,-1,14,-75,-15
364,1,0,0.75,-10,21,-11,37,5
374,1,1,1.5,10,58,-16,105,30
382,1,1,1.5,-35,91,29,125,10
396,1,0,-1.0,-5,-51,-1,-35,15
426,1,0,-1.75,-50,-288,-41,-284,-25
427,1,0,-1.75,-70,-348,-51,-344,-35
433,1,1,0.75,14,32,-15,54,10
433,1,1,0.75,14,32,-15,54,10
441,1,0,-0.5,-15,-43,-39,-55,-36
456,1,1,-1.0,15,-42,-69,-42,-23
465,1,0,0.5,-50,27,-21,43,-25
470,1,1,1.5,11,74,1,102,3
509,1,0,0.0,-5,29,-1,5,-55
522,1,0,0.75,-50,22,-81,50,0
547,1,0,-1.0,-40,-91,-71,-85,-65
558,1,1,-1.5,0,-102,4,-58,20
565,1,0,0.0,-32,-36,-20,5,-4
574,1,0,-1.5,-56,-172,-14,-164,2
600,1,0,0.5,-40,-13,-26,50,-10
620,1,1,-0.5,0,-71,-76,-33,-10
620,1,1,-0.5,0,-71,-76,-33,-10
627,1,1,1.5,13,44,-84,89,0
633,1,0,0.0,-60,-56,-11,-55,5
649,1,0,-0.5,-58,-51,-11,-43,5
667,1,1,-1.0,15,-61,-6,-105,10
673,1,0,-0.5,-22,-93,-21,-8,15
683,1,0,-0.5,-3,-96,-41,-28,-25
719,1,1,0.75,7,34,-16,53,20
730,1,0,-1.5,-17,-76,6,-48,27
732,1,0,-3.75,-81,-312,-22,-280,-4
733,1,1,-0.5,10,-11,9,5,40
755,1,0,1.5,-4,74,-17,101,8
762,1,1,-0.875,1,-69,-41,-89,-58
797,1,0,1.5,-65,18,-61,50,-45
800,1,0,0.0,-25,-61,-71,-65,-25
18,2,1,-0.875,25,-18,13,-15,55
23,2,0,-1.5,-41,-129,-12,-100,10
26,2,0,0.0,-37,-19,3,30,10
37,2,0,-0.75,-16,-77,-24,-55,-5
65,2,0,-1.5,-35,-189,-17,-160,0
103,2,0,-0.875,-70,-58,-17,-160,-15
106,2,0,-1.0,-7,-84,-7,-66,-35
110,2,0,0.5,-80,37,-7,40,0
134,2,0,-3.0,-35,-138,28,-380,-15
181,2,0,-1.75,-25,-55,13,-90,-30
192,2,0,-3.5,-10,-169,18,-240,35
199,2,1,3.75,20,243,13,315,30
200,2,1,3.75,10,236,-17,305,0
201,2,1,0.0,30,-38,-52,50,15
213,2,0,0.0,-5,-3,-47,20,-50
224,2,0,-1.0,30,-85,-137,-55,15
278,2,1,-0.5,5,-54,3,-45,20
284,2,0,1.5,-10,49,-47,113,-30
284,2,0,1.5,-10,49,-47,113,-30
289,2,1,-0.5,40,-14,28,20,50
290,2,1,-0.5,45,-4,8,15,55
298,2,1,0.75,0,45,23,65,40
310,2,1,0.75,25,52,3,70,20
314,2,0,0.0,-40,-98,-37,-15,15
317,2,1,-0.75,20,-75,18,-10,50
317,2,1,-0.75,20,-75,18,-10,50
327,2,1,-0.5,10,-44,-12,-25,15
342,2,0,0.5,-35,42,13,43,-5
348,2,0,1.5,-5,79,43,128,60
356,2,0,-1.5,40,-139,-77,-130,10
393,2,0,0.0,-15,-68,3,5,20
394,2,0,0.0,-55,-88,3,-35,20
405,2,1,1.5,5,79,-67,138,15
411,2,1,-2.0,30,-110,-17,-70,20
413,2,0,-2.0,-10,-270,-67,-190,-10
426,2,0,-1.75,-35,-285,-27,-280,-10
451,2,0,0.5,-10,2,-16,33,1
484,2,0,-0.75,-24,-78,-4,-51,19
501,2,1,0.0,13,-50,-55,12,8
529,2,1,-1.0,20,-55,-82,-75,-70
529,2,1,-1.0,20,-55,-82,-75,-70
544,2,0,0.0,-40,-98,-47,0,-30
552,2,0,0.0,-67,-20,-12,-20,5
570,2,0,0.0,-46,-26,13,-8,30
572,2,0,0.75,-41,38,0,56,17
583,2,0,0.5,-56,12,0,40,17
584,2,1,0.0,45,-13,-22,55,55
592,2,1,1.5,10,94,-63,120,-46
600,2,0,0.5,-25,0,-12,65,5
610,2,0,0.75,-30,47,-12,53,5
624,2,1,-0.5,30,1,-22,-15,15
662,2,1,-1.0,10,-80,-32,-70,-5
681,2,0,0.5,-5,20,13,53,30
706,2,0,-0.5,-41,-74,-7,-105,0
709,2,0,-1.5,-41,-219,-27,-190,0
721,2,0,0.875,-4,49,-59,71,5
724,2,0,-3.5,-44,-245,-9,-416,-20
732,2,0,-3.75,-66,-309,-8,-276,11
740,2,0,1.5,-15,92,-5,104,-74
750,2,1,-1.0,25,-110,-87,-45,31
763,2,1,1.5,16,98,1,131,17
769,2,1,-1.0,14,-56,13,-54,17
778,2,0,-0.5,-15,-40,-28,-40,-7
784,2,1,0.25,19,15,-7,29,25
785,2,0,0.25,-24,9,-59,26,5
791,2,1,-1.75,5,-45,28,-70,40
4,3,1,0.0,0,-5,-40,-5,-20
17,3,1,-0.875,30,-25,53,-8,80
17,3,1,-0.875,30,-25,53,-8,80
22,3,1,-1.5,9,-79,28,-50,50
28,3,0,-1.5,-20,-139,18,-72,39
36,3,1,-0.75,24,-42,16,-30,45
86,3,1,1.0,65,99,18,160,60
97,3,1,-0.75,30,-85,8,-40,0
110,3,0,0.5,-60,57,13,60,20
120,3,1,0.0,55,-3,-12,70,70
124,3,0,0.0,-10,-13,3,60,20
129,3,1,1.5,12,118,18,168,20
133,3,0,-1.75,-25,-200,3,-85,20
137,3,0,-0.5,-5,-84,-17,-5,30
138,3,0,-1.75,-25,-290,-37,-105,10
147,3,0,0.5,-50,50,23,45,5
186,3,1,1.75,13,150,25,181,24
199,3,1,3.75,40,323,33,395,50
216,3,0,-0.5,-5,-19,23,-35,15
217,3,1,-1.0,32,-62,35,-44,52
228,3,0,0.0,-5,-6,8,23,45
249,3,0,-1.5,-35,-139,-7,-230,10
253,3,1,0.0,20,2,-7,-5,5
262,3,1,0.0,25,72,73,25,-35
265,3,0,1.5,-5,127,-32,155,-15
282,3,1,1.5,30,122,13,170,30
289,3,1,-0.5,60,-4,48,30,70
292,3,1,-0.5,65,6,28,25,75
310,3,1,0.75,45,72,23,90,40
310,3,1,0.75,45,72,23,90,40
310,3,1,0.75,45,72,23,90,40
311,3,1,0.875,10,66,3,93,40
318,3,1,0.0,52,31,60,49,77
327,3,1,-0.5,30,-34,8,-15,35
350,3,0,1.5,-25,94,13,145,35
351,3,1,1.5,20,129,48,165,65
378,3,1,0.75,57,72,6,85,13
379,3,1,0.75,37,62,-14,80,-7
388,3,1,-0.5,5,-124,8,-43,17
388,3,1,-0.5,5,-124,8,-43,17
397,3,1,-1.0,0,-78,3,-60,20
403,3,1,1.5,28,112,-22,153,25
405,3,1,1.5,25,119,-47,178,35
416,3,1,-1.0,30,-18,-17,-100,-100
424,3,0,0.0,-10,-68,-57,0,10
432,3,0,-1.0,-100,-108,-7,-90,10
443,3,1,-1.5,0,-109,33,-30,60
462,3,1,-1.75,14,-168,33,-163,50
463,3,1,-1.75,10,-40,41,-35,58
470,3,1,1.5,46,140,35,172,38
476,3,0,0.0,-25,6,-1,46,4
486,3,1,-2.0,47,-178,-33,-158,-16
554,3,0,-3.5,-20,-359,-17,-350,0
585,3,1,0.0,60,-23,-22,50,60
662,3,1,-1.0,30,-80,-12,-70,15
676,3,1,-1.0,30,-138,3,-40,20
693,3,1,-1.5,15,-153,17,-160,34
698,3,1,-1.75,20,-150,28,-75,45
723,3,1,-1.5,7,-77,25,-130,30
728,3,1,0.0,23,46,45,68,64
742,3,1,0.75,12,57,21,76,19
748,3,0,-1.0,-24,-14,7,-66,19
772,3,0,-0.5,-38,-51,8,-24,37
787,3,1,0.25,11,18,-39,36,25
3,4,1,0.0,0,5,40,5,20
38,4,1,-0.75,30,-32,83,-10,80
61,4,0,1.5,-5,159,45,197,40
61,4,0,1.5,-5,159,45,197,40
69,4,0,-1.0,-10,60,108,-88,65
79,4,1,0.0,10,30,88,36,20
159,4,0,-3.75,-10,-375,33,-470,35
160,4,1,-0.5,30,-14,78,11,70
165,4,0,-1.0,-60,-200,53,-266,0
166,4,0,-1.0,-20,-100,23,-78,20
175,4,1,1.5,2,148,23,205,37
188,4,1,1.5,65,188,95,222,65
202,4,1,1.5,10,163,48,199,20
208,4,1,0.75,50,82,68,96,35
226,4,1,1.5,50,160,73,224,80
264,4,0,-1.5,-20,-180,38,-119,45
265,4,0,1.5,-5,163,8,199,5
